k,mean_rho,mean_rho_sd,max_abs_dev,max_abs_dev_sd,theoretical_max_dev,knn10_overlap,knn10_overlap_sd,lb_id,lb_id_sd,silhouette,silhouette_sd
20,0.9831531758994785,0.03296086637138876,0.7407896014364584,0.07077840504070919,0.7961571922106947,0.23290886392009988,0.01412240533832695,13.013323998299501,0.30153956053277114,0.09139982844109457,0.019076406161509483
30,0.9901616274381759,0.020036683072281958,0.6091350778398483,0.03810544197979654,0.6500596253210507,0.30131086142322094,0.009525887524633188,15.54724049935552,0.2558473307556225,0.10550026062375606,0.010823821411167979
50,0.9944653842542832,0.015306189133453113,0.4547264010159277,0.038003951073624594,0.5035340205820524,0.39571785268414483,0.0081722831184513,18.434535554368278,0.3022785466270732,0.11346296107111768,0.00811185668771604
100,1.0013711686862696,0.013289912363863537,0.33142481221954057,0.02325688284933918,0.3560523205116959,0.5217353308364545,0.007872190353853146,21.910372967561024,0.39588924583707086,0.1233663885072257,0.00473475700727863
200,1.0016352431019,0.007810887128913055,0.22602825631032322,0.011626971267375214,0.2517670102910262,0.6273283395755306,0.004610258867222875,24.82797203062314,0.3633103372322221,0.12674566670972706,0.0043379171381665825
321,1.0014149586329792,0.006833979897722154,0.17861451729979447,0.008498773701648652,0.1987290261601349,0.692721598002497,0.006825448088162843,26.270598794217904,0.3063032919282414,0.1282304321098228,0.0047047295087565034
500,1.0024362409754448,0.005505933598667229,0.14834098964696804,0.009777697855780393,0.15923143844213894,0.7447066167290887,0.005454251792031121,27.402059914977446,0.41077903289274803,0.12963235650211008,0.0034343186066724566
800,1.0021778050563168,0.004438323351434618,0.11604929696844657,0.00651909967502027,0.1258835051455131,0.7916978776529339,0.0038281518368194303,27.967767410396497,0.3323276078113922,0.12969382740978536,0.0029343847645366154
1543,1.002315600964232,0.0027022058817809747,0.08396797989663049,0.004644436488952962,0.09064228758990478,0.8459925093632961,0.002996358716462724,28.706417155662518,0.22617803750652835,0.13100919517337437,0.002050611743584315
3000,1.0008356945868555,0.0015966440547621834,0.060854842172004285,0.0036892476973795396,0.06500596253210507,0.8851935081148564,0.002485115862126089,29.058461527722265,0.28810959490405613,0.1314015982700307,0.0010924333285423449
